NOMBRE,TIPO,CATEGORIA,ÁREA RESPONSABLE,LATITUD,LONGITUD,DISTRITO
PLAZA UGARTECHE,Plazas,E,Higiene Urbana,,,UGARTECHE
PLAZOLETA AYMONT,Plazas,C,Delegación,-32.95884832,-68.85267568,CARRODILLA
PLAZOLETA CIOPPO,Plazas,B,Higiene Urbana,-33.02221513,-68.88306776,MAYOR DRUMOND
PLAZOLETA ISAAC CORREA (Ricardo Videla y Francia),Plazas,C,Delegación,-32.95889742,-68.85420246,LA PUNTILLA
POTRERILLOS,Rotonda,B,Obras y EP,-32.96080507,-69.1974747,POTRERILLOS
PUERTO DESEADO,Paseo y Espacios Públicos,B,Higiene Urbana,-33.02420355,-68.88203276,CIUDAD
PUERTO DESEADO (CHILE-JUJUY),Ciclovía,B,Higiene Urbana y Obras,-33.02418046,-68.88214885,CIUDAD
PUL,Ciclovía,C,Higiene Urbana y Obras,-33.05305731,-68.87647262,
QUINTANA (SAN MARTIN-ACCESO SUR),Ciclovía,B,Higiene Urbana y Obras,-33.05305731,-68.87647262,PERDRIEL
QUITO,Plazas,C,Delegación,,,LA PUNTILLA
RINCON DE VISTALBA,Plazas,C,Delegación,-33.04056104,-68.92472697,VISTALBA
RIÑON EN CALLE JJ PASO,Plazas,A,Delegación,,,LA PUNTILLA
ROTONDA DE LA VIRGEN,Rotonda,E,Obras y EP,-33.03432544,-68.89809968,CIUDAD
RUTA 15 (PTE RIO-FUNES),Ciclovía,B,Higiene Urbana y Obras,-33.09980261,-68.88733258,PERDRIEL
RUTA 15 (RUTA 16-NIDO UGARTECHE),Ciclovía,C,Higiene Urbana y Obras,-33.21272494,-68.89020779,UGARTECHE
RUTA 15 Y OLAVARRÍA,P.E.S.,C,Delegación,-33.0674371,-68.88363178,PERDRIEL
RUTA 15 Y QUINTANA,Rotonda,A,Obras y EP,,,PERDRIEL
RUTA 15 Y SALGUERO (THAMES),P.E.S.,C,Delegación,-33.07939491,-68.88594186,PERDRIEL
RUTA 15 Y VILLANUEVA,P.E.S.,C,Delegación,-33.05772679,-68.88249457,PERDRIEL
RUTA 15 Y ZARANDON,P.E.S.,C,Obras y EP,-33.12033444,-68.88926314,AGRELO
RUTA 16 Y RUTA 61 (Pez Carrizal),P.E.S.,A,Delegación,-33.32172512,-68.75956874,EL CARRIZAL
RUTA 82 (Control Policial),P.E.S.,A,Delegación,-33.03841643,-68.99645094,LAS COMPUERTAS
RUTA 82 (ESC. GASCOGNE-A.CONDARCO),Ciclovía,B,Higiene Urbana y Obras,-33.03833702,-69.01065811,
RUTA 82 Y CARACOLES,Rotonda,A,Obras y EP,,,CHACRAS DE CORIA
RUTA PANAMERICANA E IRIGOYEN,P.E.S.,E,Obras y EP,-32.95955795,-68.86291645,LA PUNTILLA
SAENZ PEÑA (SAN MARTIN-G.ORTIZ),Ciclovía,E,Higiene Urbana y Obras,-33.03246887,-68.90313625,VISTALBA
SAN MARTIN (20 DE SEPTIEMBRE-RIO MENDOZA),Ciclovía,E,Higiene Urbana y Obras,-33.04334109,-68.88129576,CIUDAD
SAN MARTIN (ALMTE BROWN - BELGRANO),Ciclovía,E,Higiene Urbana y Obras,-33.02237605,-68.87349353,
SAN MARTIN (PASO-BESARES),Ciclovía,E,Higiene Urbana y Obras,-32.97474838,-68.85615948,CARRODILLA
SAN MARTÍN Y BESARES,P.E.S.,E,Delegación,-32.98202624,-68.86019218,CARRODILLA
SAN MARTÍN Y PASO,P.E.S.,E,Delegación,-32.96608957,-68.85444749,CARRODILLA
SECA,Plazas,A,Delegación,,,CIUDAD
SOLAR MALVINENSE,Plazas,C,Delegación,,,VERTIENTES DE PEDEMONTE
SOLARES DE GABRIELLI ,Plazas,B,Delegación,-32.9959319,-68.86396948,MAYOR DRUMOND
TERRADA-TERRADA,Rotonda,A,Obras y EP,,,
TRIANGULO LUJÁN (GC),Plazas,C,Delegación,,,CARRODILLA
UGARTECHE,Rotonda,C,Obras y EP,-32.96156948,-68.86362851,UGARTECHE
VALLE DE CHACRAS,Plazas,C,Delegación,-32.9910469,-68.86510296,CHACRAS DE CORIA
VIAMONTE (CHILE-LARREA),Ciclovía,E,Higiene Urbana y Obras,-33.00331856,-68.88744311,
VIAMONTE (TRES GEMELOS),Rotonda,A,Obras y EP,,,VISTALBA
VIAMONTE Y ALMIRANTE BROWN,Rotonda,A,Obras y EP,-32.96560544,-68.85418165,CHACRAS DE CORIA
VIAMONTE Y LARREA,Rotonda,B,Obras y EP,,,CHACRAS DE CORIA
VIAS DE CHACRAS (ITALIA-ESTACION FFCC),Ciclovía,C,Higiene Urbana y Obras,-32.98308636,-68.88316065,CHACRAS DE CORIA
"VIRGEN (Callejón de la Virgen, Vistalba)",Paseo y Espacios Públicos,C,Delegación,-33.03335211,-68.93284674,VISTALBA
VIRGEN DE CARRODILLA,Paseo y Espacios Públicos,E,Higiene Urbana,-32.96576841,-68.853402,CARRODILLA
VIRGEN DE LOURDES,Plazas,C,Delegación,,,
VISTA AL ALBA,Plazas,A,Higiene Urbana,-33.03192038,-68.90764205,VISTALBA
ZAPIOLA Y ALSINA,Paseo y Espacios Públicos,C,Higiene Urbana,,,MAYOR DRUMOND
GUEVARA Y VALCANERA,Rotonda,B,Obras y EP,,,CIUDAD
BOEDO Y SANDWICH DEL SUR,Rotonda,B,Obras y EP,,,CARRODILLA
TERRADA Y RUTA 60,Rotonda,B,Obras y EP,,,DRUMMOND
BESARES Y DARRAGUEIRA,Rotonda,B,Obras y EP,,,CHACRAS DE CORIA
25 DE MAYO,Plazas,C,Delegación,,,CHACRAS DE CORIA
GUZMAN DE PANDO,Plazas,C,Delegación,,,PERDRIEL
IV 13 DE DICIEMBRE,Plazas,C,Delegación,,,VISTALBA
COURVIFLOR (MARGARITA),Plazas,C,Delegación,,,CARRIZAL
LAS CARDITAS,Plazas,C,Delegación,,,POTRERILLOS
VILLA  AMELIA,Plazas,C,Delegación,,,UGARTECHE
HOGAR DEL TRABAJADOR,Plazas,C,Delegación,,,UGARTECHE
LOS ABUELOS,Plazas,C,Delegación,,,UGARTECHE
ESPACIO BACO (LOS PERROS),Plazas,C,Delegación,,,LA PUNTILLA
COSTA ESPERANZA,Plazas,C,Delegación,,,UGARTECHE
BIBLIOTECA ALBERDI,Plazas,A,Higiene Urbana,,,CIUDAD
QVTTRO VIAMONTE,Rotonda,C,Obras y EP,,,VISTALBA
BOMBERO CRUCEÑO (P.E.S.),P.E.S.,C,Delegación,,,PERDRIEL
CANTERO CENTRAL CALLE CHILE,Paseo y Espacios Públicos,C,Obras y EP,,,CIUDAD
BOULEVARD TIERRA DEL FUEGO,Paseo y Espacios Públicos,B,Delegación,,,CARRODILLA
ARAOZ Y SAN MARTIN,Rotonda,A,Obras y EP,,,DRUMMOND
CALLE SERRANO,Paseo y Espacios Públicos,C,Delegación,,,CARRODILLA
BOULEVARD LOS TARCOS,Paseo y Espacios Públicos,C,Delegación,,,PERDRIEL
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
PLAZA VILLA DEL RIO (CEC),,,,,,